SMILES,ABL1,ACHE,ADRB2,AR,BRAF,COX2,DRD2,EGFR,HDAC1,HTR2A,JAK2,MAOA,VEGFR2
C=C(CNN)c1ccccc1C.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(Cc1c[nH]c2ccccc12)Nc1ccc(OCCCCCCC(=O)NO)cc1,0,0,0,0,0,0,0,0,1,0,0,0,0
C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,0,0,0,0,0,1,0,0,0,0,0,0,0
C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,0,0,0,1,0,0,0,0,0,0,0,0,0
C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,0,0,0,0,0,1,0,0,0,0,0,0,0
C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,0,0,0,1,0,0,0,0,0,0,0,0,0
C=C1CC[C@@H](Br)C(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,0,0,0,1,0,0,0,0,0,0,0,0,0
C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,0,0,0,1,0,0,0,0,0,0,0,0,0
C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCCOC,1,0,0,0,0,0,0,0,0,0,0,0,0
C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCOC,1,0,0,0,0,0,0,0,0,0,0,0,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CCCCCCC[n+]1cccc(CCCCCCCCCCCC[n+]2cccc(CCCC=C)c2)c1.[Cl-].[I-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCCCCCC[n+]1cccc(CCCCCCCCCCCC[n+]2cccc(CCCCC=C)c2)c1.[Cl-].[I-],0,0,0,0,0,0,0,0,1,0,0,0,0
C=CCC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCC[N+](C)(C)c1ccccc1O.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCN1CCC[C@H]1CNC(=O)c1cc(CCCCl)cc(OC)c1OC,0,0,0,0,0,0,1,0,0,0,0,0,0
C=CCN1CCC[C@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC,0,0,0,0,0,0,1,0,0,0,0,0,0
C=CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3N(C)[C@@H]12,0,1,0,0,0,0,0,0,0,0,0,0,0
C=CCO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CC[C@H](NC(=O)Cc1c(C)[nH]c2ccc(OC)cc12)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)Cc1cccc(O)c1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)Cc1cccc(OC)c1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1,0,1,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1ccc(O)cc1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1ccc(OC(C)=O)cc1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1ccc(OC)cc1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1ccc(OCC(=O)c2ccc(OC)c(OC)c2)cc1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1cccc(O)c1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1cccc(OC(C)=O)c1.[Br-],0,1,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1cccc(OC)c1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1ccccc1O.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC[N+](C)(C)c1ccccc1OC.[Br-],0,1,0,0,0,0,0,0,0,0,0,0,0
C=CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],0,1,0,0,0,0,0,0,0,0,0,0,0
C=CCc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCn1c(N/N=C\c2cccc([N+](=O)[O-])c2)nc2c1c(=O)[nH]c(=O)n2C,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CS(=O)(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=C[S+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
CC#CCSc1ccccc1OC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0,0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0,0,0,1,0,0,0,0,0,0,0,0,0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(Cc4ccc(C)cc4)C3=CC[C@@]21C,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=C(C#N)C#N)c1ccc(N)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1cccc(-c2ccccc2)c1,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)C1CCCN(C)C1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)C1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)CN1CCCCC1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)c1cncs1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)c1cncs1)C(=O)Nc1cccc(-c2ccccc2)c1,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)c1snnc1C)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(=O)c1snnc1C)C(=O)Nc1cccc(Cl)c1,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)CCCCC[C@H](NC(C)=O)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,0,0,0,0,0,0,0,0,1,0,0,0,0
